,tweet_id,hash
0,1499771714473177088,ChargeNow
1,1488654044671488000,chargenow
1,1488654044671488000,evcharging
1,1488654044671488000,emobility
1,1488654044671488000,EV
1,1488654044671488000,GreenLive
1,1488654044671488000,VehículoEléctrico
1,1488654044671488000,Innovación
2,1488142346000945154,EVoltThailand
2,1488142346000945154,EVolt
2,1488142346000945154,EVoltKnowledge
2,1488142346000945154,EV
2,1488142346000945154,EVcharging
2,1488142346000945154,EMobility
2,1488142346000945154,ChargeNow
2,1488142346000945154,motorworld
2,1488142346000945154,mtw
3,1484645182809288711,chargenow
4,1484594066234953729,chargenow
4,1484594066234953729,evcharging
4,1484594066234953729,emobility
4,1484594066234953729,EV
4,1484594066234953729,puntodecarga
5,1482653589067612160,ChargeNOW
6,1482647583780917255,ChargeNOW
